NAMA KK,NIK,DOMISILI,PROVINSI,TANGGAL LAHIR,USIA,PEKERJAAN, PENDAPATAN ,JUMLAH ANGGOTA KEL,JML IBU HAMIL,JML BALITA,JML LANSIA,JML ANAK PUTUS SEKOLA,JML ANGGOTA DISABILITAS,KSE,KATEGORI
Silvia Nainggolan,3200225700089520,Semarang,Jawa Tengah,2/11/1989,36,Tidak Bekerja, Rp-   ,6,0,3,1,1,0,3,Tidak menerima bansos
Jelita Utapea,3200196125337010,Pekanbaru,Riau,1/21/1999,26,Petani," Rp2,000,000 ",8,0,3,1,2,2,4,menerima bansos
Belinda Wibisono.,3200846674461560,Gorontalo,Gorontalo,10/10/1971,53,Karyawan," Rp2,000,000 ",6,0,3,2,0,1,4,menerima bansos
Bagus Wibisono,3200722196564430,Palu,Sulawesi Tengah,3/18/1970,55,Tidak Bekerja, Rp-   ,6,1,0,2,0,2,3,Tidak menerima bansos
Galar Usada,3200426309108210,Jambi,Jambi,6/1/1971,54,Petani," Rp1,000,000 ",8,0,2,2,2,2,5,menerima bansos
Kemal Tarioran,3200880788218010,Palembang,Sumatera Selatan,8/15/1989,35,Petani," Rp1,500,000 ",2,0,0,0,1,0,1,Tidak menerima bansos
Micelle Utapea,3200319973825540,Samarinda,Kalimantan Timur,12/9/1974,50,Karyawan," Rp2,000,000 ",6,1,2,1,1,1,4,menerima bansos
Bala Firmansya,3200510187576350,Malang,Jawa Timur,8/9/1963,61,Petani," Rp500,000 ",5,0,2,0,2,1,4,menerima bansos
Kacung Irawan,3200116986658400,Jambi,Jambi,2/22/1990,35,Karyawan," Rp1,000,000 ",5,0,1,2,1,1,4,menerima bansos
Usyi Assana,3200329463303010,Makassar,Sulawesi Selatan,6/19/1998,27,Petani," Rp2,000,000 ",4,1,2,1,0,0,1,Tidak menerima bansos
Yuliana Nainggolan,3200028388531920,Palu,Sulawesi Tengah,11/17/1984,40,Tidak Bekerja, Rp-   ,4,0,1,1,2,0,1,Tidak menerima bansos
Maimuna Sitompul,3200612849286400,Pekanbaru,Riau,4/17/1979,46,Buru," Rp1,500,000 ",8,1,2,2,1,2,5,menerima bansos
Balijan Samosir,3200070705117200,Pontianak,Kalimantan Barat,9/16/1970,54,Karyawan," Rp500,000 ",6,1,2,1,1,0,3,Tidak menerima bansos
Aisya Irawan,3200590650088510,Depok,Jawa Barat,7/23/1983,41,Wiraswasta," Rp1,000,000 ",2,0,1,0,0,1,1,Tidak menerima bansos
Anom Uwais,3200024247634470,Makassar,Sulawesi Selatan,12/5/1991,33,Karyawan," Rp500,000 ",6,0,2,1,1,1,4,menerima bansos
Jane Ardianto,3200088718699860,Padang,Sumatera Barat,3/21/1990,35,Karyawan," Rp1,000,000 ",6,0,3,2,0,0,3,Tidak menerima bansos
Galar Mansur,3200472970625510,Pekanbaru,Riau,2/21/1979,46,Buru," Rp1,500,000 ",4,0,1,0,1,1,2,Tidak menerima bansos
Puput Rajasa,3200173472918680,Malang,Jawa Timur,4/28/1998,27,Wiraswasta," Rp1,000,000 ",5,0,0,2,0,2,3,Tidak menerima bansos
Ana Laksmiwati,3200032204229500,Pontianak,Kalimantan Barat,6/5/1970,55,Petani," Rp2,000,000 ",6,1,1,0,2,1,3,Tidak menerima bansos
Garda Simbolon,3200483277009130,Palu,Sulawesi Tengah,4/2/1981,44,Buru," Rp1,000,000 ",4,0,2,2,0,0,2,Tidak menerima bansos
Zulaika Aryanto.,3200587637551430,Bogor,Kalimantan Timur,6/3/1973,52,Petani," Rp1,000,000 ",5,0,0,2,0,2,3,Tidak menerima bansos
Luwar Yolanda.,3200539443782450,Lampung,Lampung,6/16/1991,34,Karyawan," Rp2,000,000 ",4,1,2,0,0,1,2,Tidak menerima bansos
Puti Gasti Sitorus,3200792805178610,Merauke,Papua Selatan,4/29/1982,43,Karyawan," Rp1,500,000 ",5,1,0,1,2,0,2,Tidak menerima bansos
Baktiono Tamrin,3200006704917870,Jayapura,Papua,9/12/1969,55,Karyawan," Rp2,000,000 ",6,1,3,0,0,1,3,Tidak menerima bansos
Kambali Mayasari,3200237104555230,Bekasi,Kalimantan Timur,8/11/1970,54,Karyawan," Rp1,500,000 ",7,1,2,2,1,1,5,menerima bansos
Danu Winarno,3200773918368040,Bekasi,Kalimantan Timur,7/13/1979,45,Petani," Rp2,000,000 ",4,1,0,0,2,1,2,Tidak menerima bansos
Tina Siombing,3200919202484560,Manado,Sulawesi Utara,11/17/1981,43,Tidak Bekerja, Rp-   ,4,0,1,2,1,0,2,Tidak menerima bansos
Asirwada Kuswoyo,3200853451348900,Padang,Sumatera Barat,10/16/1975,49,Tidak Bekerja, Rp-   ,7,0,3,0,2,2,4,menerima bansos
Racel Setiawan,3200826512206020,Banjarmasin,Kalimantan Selatan,1/23/1975,50,Petani," Rp1,500,000 ",8,0,3,2,1,2,5,menerima bansos
Nurul Wibowo,3200561907132560,Semarang,Jawa Tengah,8/15/1965,59,Tidak Bekerja, Rp-   ,6,1,3,0,1,1,4,menerima bansos
Nadine Idayanto,3200289513127240,Manado,Sulawesi Utara,1/22/1988,37,Tidak Bekerja, Rp-   ,7,1,3,2,1,0,4,menerima bansos
Tami Marpaung,3200426211477060,Malang,Jawa Timur,11/29/1991,33,Buru," Rp1,000,000 ",5,0,2,2,0,1,4,menerima bansos
Betania Widiastuti,3200427796917930,Banjarmasin,Kalimantan Selatan,1/13/1992,33,Wiraswasta," Rp1,500,000 ",5,0,0,2,0,2,3,Tidak menerima bansos
Sutan Danuja Nasiruddin,3200278610280940,Medan,Sumatera Utara,4/27/1976,49,Tidak Bekerja, Rp-   ,7,0,3,1,1,2,4,menerima bansos
Empluk Gunarto,3200119269104730,Palu,Sulawesi Tengah,7/2/1990,35,Tidak Bekerja, Rp-   ,4,1,2,0,1,0,2,Tidak menerima bansos
Tasdik Narpati,3200489152850090,Kendari,Sulawesi Tenggara,2/23/1979,46,Wiraswasta," Rp1,500,000 ",3,0,0,1,1,1,2,Tidak menerima bansos
Vino Sitorus,3200419330892710,Malang,Jawa Timur,1/9/1987,38,Karyawan," Rp1,000,000 ",7,1,2,0,2,1,4,menerima bansos
Jabal Marbun,3200017037246120,Manokwari,Papua Barat,6/22/1997,28,Petani," Rp1,500,000 ",5,1,0,2,1,0,3,Tidak menerima bansos
Jelita Mandasari,3200532804035390,Malang,Jawa Timur,6/15/1974,51,Karyawan," Rp2,000,000 ",2,1,1,0,0,0,0,Tidak menerima bansos
Rati Tamrin,3200254380987220,Balikpapan,Kalimantan Timur,11/27/1955,69,Buru," Rp1,500,000 ",6,1,2,0,1,2,4,menerima bansos
Siska Winarsi,3200152147081270,Jayapura,Papua,11/16/1982,42,Wiraswasta," Rp2,000,000 ",4,0,0,2,1,1,3,Tidak menerima bansos
Nova Kusumo.,3200549774594000,Balikpapan,Kalimantan Timur,7/24/1981,43,Petani," Rp1,000,000 ",7,0,2,2,0,2,4,menerima bansos
Kajen Widodo,3200670472720520,Medan,Sumatera Utara,9/3/1974,50,Karyawan," Rp500,000 ",4,1,0,1,1,0,1,Tidak menerima bansos
Teddy Firgantoro,3200174541933290,Jambi,Jambi,2/26/1983,42,Tidak Bekerja, Rp-   ,5,0,0,2,1,2,4,menerima bansos
Galar Puspasari,3200703580132720,Bengkulu,Kalimantan Timur,12/16/1997,27,Wiraswasta," Rp2,000,000 ",6,0,3,1,0,2,3,Tidak menerima bansos
Rmila Budiman,3200361311719100,Bandung,Jawa Barat,2/17/1977,48,Wiraswasta," Rp1,500,000 ",8,1,2,2,1,1,5,menerima bansos
Intan Simanjuntak,3200381045595980,Padang,Sumatera Barat,11/29/1995,29,Karyawan," Rp500,000 ",7,0,2,2,2,0,4,menerima bansos
Agnes Yuniar,3200971029855010,Pontianak,Kalimantan Barat,7/18/1984,40,Tidak Bekerja, Rp-   ,5,1,0,2,2,0,3,Tidak menerima bansos
Vera Marpaung,3200630986338190,Bogor,Kalimantan Timur,3/2/1987,38,Wiraswasta," Rp1,000,000 ",6,1,0,0,2,2,3,Tidak menerima bansos
Zalindra Laksmiwati,3200260825716250,Samarinda,Kalimantan Timur,3/25/1970,55,Buruh," Rp1,000,000 ",3,0,0,0,1,1,2,Tidak menerima bansos
Janet Salaudin,3200739762458910,Lampung,Lampung,7/22/1956,68,Wiraswasta," Rp1,500,000 ",8,0,2,1,2,2,4,menerima bansos
Limar Sinaga,3200694825518200,Jambi,Jambi,1/16/1963,62,Karyawan," Rp2,000,000 ",5,1,1,1,1,0,2,Tidak menerima bansos
Irfan Sudiati,3200379506262920,Palembang,Sumatera Selatan,9/19/1978,46,Wiraswasta," Rp2,000,000 ",9,1,3,2,0,2,4,menerima bansos
Bakiman Idayat,3200478656445560,Pekanbaru,Riau,8/10/1988,36,Petani," Rp2,000,000 ",7,1,3,2,0,1,4,menerima bansos
Nilam Ardiansya,3200897460171450,Malang,Jawa Timur,8/7/1980,44,Buru," Rp1,500,000 ",5,1,0,2,1,1,4,menerima bansos
Lalita Firmansya,3200150054786440,Manokwari,Papua Barat,6/27/1974,51,Buru," Rp2,000,000 ",9,0,2,2,2,2,5,menerima bansos
Marwata Narpati,3200052041951510,Pekanbaru,Riau,6/20/1955,70,Karyawan," Rp500,000 ",3,1,0,0,1,1,2,Tidak menerima bansos
Taufan Wacana,3200322124472600,Malang,Jawa Timur,10/10/1972,52,Petani," Rp1,000,000 ",5,0,2,1,0,1,3,Tidak menerima bansos
Tina Melani,3200336189923660,Surabaya,Jawa Timur,12/18/1984,40,Petani," Rp2,000,000 ",5,1,3,0,0,1,3,Tidak menerima bansos
Zizi Anggraini,3200260614516870,Banjarmasin,Kalimantan Selatan,8/8/1998,26,Buru," Rp2,000,000 ",7,1,3,2,0,1,4,menerima bansos
Jono Nasyia,3200186740818590,Gorontalo,Gorontalo,1/13/1965,60,Buru," Rp1,000,000 ",5,1,3,0,0,1,3,Tidak menerima bansos
Gani Kusumo,3200180150858310,Bogor,Kalimantan Timur,6/25/1986,39,Karyawan," Rp2,000,000 ",8,1,3,1,2,1,4,menerima bansos
Dia Natsir,3200851981760060,Gorontalo,Gorontalo,12/19/1975,49,Tidak Bekerja, Rp-   ,5,1,1,1,0,2,2,Tidak menerima bansos
Klukman Siotang,3200469615866970,Jambi,Jambi,4/19/1963,62,Wiraswasta," Rp500,000 ",6,1,1,2,2,0,3,Tidak menerima bansos
Ida Firgantoro,3200766978427740,Palu,Sulawesi Tengah,1/26/1978,47,Karyawan," Rp2,000,000 ",6,0,1,0,2,2,3,Tidak menerima bansos
Jasmin Gunawan,3200855573672850,Surabaya,Jawa Timur,6/14/1992,33,Karyawan," Rp1,500,000 ",8,1,3,2,1,0,4,menerima bansos
Jarwi Permadi,3200015902804790,Surabaya,Jawa Timur,1/4/1961,64,Petani," Rp1,500,000 ",8,1,2,1,2,1,4,menerima bansos
Elvina Nurdiyanti,3200564451444210,Medan,Sumatera Utara,7/1/1964,61,Petani," Rp2,000,000 ",7,0,3,0,1,2,4,menerima bansos
Gabriella Marpaung,3200520650746720,Balikpapan,Kalimantan Timur,4/28/1955,70,Buru," Rp2,000,000 ",6,0,3,0,0,2,3,Tidak menerima bansos
Tgkirsad Mansur,3200074916106610,Palembang,Sumatera Selatan,5/30/1956,69,Tidak Bekerja, Rp-   ,6,0,3,2,0,0,3,Tidak menerima bansos
Puput Nasiruddin,3200473998606910,Bogor,Kalimantan Timur,8/4/1961,63,Buru," Rp1,500,000 ",3,0,0,1,0,2,1,Tidak menerima bansos
Karima Tamrin,3200737720972140,Kendari,Sulawesi Tenggara,5/12/1986,39,Buru," Rp1,000,000 ",6,0,3,0,2,1,4,menerima bansos
Padmi Santoso,3200650188597330,Bogor,Kalimantan Timur,6/5/1992,33,Tidak Bekerja, Rp-   ,4,0,2,1,1,0,2,Tidak menerima bansos
Fara Ardiansya,3200260195677020,Pontianak,Kalimantan Barat,8/7/1963,61,Buru," Rp500,000 ",2,0,1,0,0,0,0,Tidak menerima bansos
Lalita Wayudin,3200682763689640,Jambi,Jambi,4/8/1987,38,Karyawan," Rp1,500,000 ",6,0,3,2,1,0,4,menerima bansos
Karima Budiman,3200107477933560,Bpp,Kalimantan Timur,7/7/1972,52,Wiraswasta," Rp1,500,000 ",5,0,1,2,1,1,4,menerima bansos
Luung Andriani,3200713845851050,Banjarmasin,Kalimantan Selatan,6/6/1984,41,Wiraswasta," Rp1,000,000 ",4,0,0,2,1,1,3,Tidak menerima bansos
Yoga Kusumo,3200987898278370,Pekanbaru,Riau,8/13/1957,67,Tidak Bekerja, Rp-   ,6,0,3,1,1,1,4,menerima bansos
Paris Artati,3200575324898330,Kendari,Sulawesi Tenggara,10/9/1963,61,Wiraswasta," Rp2,000,000 ",5,1,0,2,2,0,3,Tidak menerima bansos
Kamila Sudiati,3200582691934250,Manokwari,Papua Barat,8/8/1977,47,Buru," Rp1,500,000 ",0,0,0,0,0,0,0,Tidak menerima bansos
Janet Safitri,3200470167998140,Gorontalo,Gorontalo,2/19/1995,30,Karyawan," Rp1,000,000 ",5,1,2,0,2,0,3,Tidak menerima bansos
Tgkpurwanto Siombing,3200773037512880,Semarang,Jawa Tengah,12/17/1974,50,Petani," Rp1,000,000 ",3,1,1,0,1,0,1,Tidak menerima bansos
Capa Abibi,3200417902724810,Gorontalo,Gorontalo,9/13/1985,39,Wiraswasta," Rp2,000,000 ",3,0,0,2,0,1,2,Tidak menerima bansos
Sara Maulana,3200262923115320,Palu,Sulawesi Tengah,2/16/1986,39,Buru," Rp500,000 ",2,0,0,0,1,0,1,Tidak menerima bansos
Puti Mala Suwarno,3200895129145420,Jambi,Jambi,1/22/1974,51,Karyawan," Rp2,000,000 ",3,0,1,1,1,0,1,Tidak menerima bansos
Jamalia Mandasari,3200064884362910,Medan,Sumatera Utara,12/24/1984,40,Petani," Rp500,000 ",7,1,2,0,2,1,4,menerima bansos
Ari Raayu,3200982270405940,Jambi,Jambi,3/25/1989,36,Wiraswasta," Rp500,000 ",8,1,3,1,2,1,4,menerima bansos
Nilam Pradipta,3200520527207800,Bogor,Kalimantan Timur,11/12/1959,65,Tidak Bekerja, Rp-   ,9,1,2,2,2,1,5,menerima bansos
Aswani Prastuti,3200863121701410,Palangkaraya,Kalimantan Tengah,4/17/1979,46,Tidak Bekerja, Rp-   ,3,0,1,0,1,1,2,Tidak menerima bansos
Aslijan Waluyo.,3200670222932090,Manokwari,Papua Barat,6/10/1968,57,Karyawan," Rp500,000 ",2,0,1,0,0,0,0,Tidak menerima bansos
Elma Nainggolan,3200478216174340,Semarang,Jawa Tengah,2/3/1967,58,Karyawan," Rp1,000,000 ",3,0,0,1,1,1,2,Tidak menerima bansos
Bajragin Tamba,3200257033557350,Yogyakarta,DI Yogyakarta,5/5/1967,58,Petani," Rp2,000,000 ",6,1,1,1,2,1,3,Tidak menerima bansos
Jamil Rajata,3200394891744580,Manado,Sulawesi Utara,6/13/1963,62,Petani," Rp1,500,000 ",6,0,2,0,2,2,4,menerima bansos
Putri Wastuti,3200741431390110,Gorontalo,Gorontalo,6/29/1979,46,Petani," Rp1,500,000 ",4,0,1,2,0,0,1,Tidak menerima bansos
Tgkpia Kuswoyo,3200739870683970,Bogor,Kalimantan Timur,9/11/1991,33,Buru," Rp1,000,000 ",5,0,1,2,2,0,3,Tidak menerima bansos
Yoga Maeswara,3200038150770970,Lampung,Lampung,3/7/1960,65,Tidak Bekerja, Rp-   ,5,1,1,1,1,1,3,Tidak menerima bansos
Cut Ica Irawan,3200097125811310,Yogyakarta,DI Yogyakarta,12/10/1963,61,Tidak Bekerja, Rp-   ,3,0,2,0,0,0,1,Tidak menerima bansos
Talia Winarsi,3200202925864700,Yogyakarta,DI Yogyakarta,6/25/1962,63,Petani," Rp1,000,000 ",10,1,3,2,2,2,5,menerima bansos
Cakrajiya Nasiruddin,3200569158260460,Malang,Jawa Timur,10/5/1980,44,Petani," Rp1,000,000 ",7,0,2,2,1,2,5,menerima bansos
Rafi Januar,3200107233294910,Merauke,Papua Selatan,1/19/1993,32,Petani," Rp500,000 ",7,1,2,2,2,0,4,menerima bansos
Jarwi Saputra,3200739724553780,Bogor,Kalimantan Timur,9/27/1978,46,Buru," Rp1,500,000 ",8,0,3,1,1,2,4,menerima bansos
Bakidin Nugroo,3200737248727640,Malang,Jawa Timur,2/11/1999,26,Tidak Bekerja, Rp-   ,6,1,0,2,1,2,4,menerima bansos
Jaswadi Siregar,3200210429451010,Gorontalo,Gorontalo,10/4/1977,47,Petani," Rp500,000 ",7,1,2,1,0,2,3,Tidak menerima bansos
Jayadi Laksita,3200523179261020,Pontianak,Kalimantan Barat,3/13/1996,29,Tidak Bekerja, Rp-   ,8,1,2,1,2,1,4,menerima bansos
Uli Yulianti,3200899361198340,Bengkulu,Kalimantan Timur,4/29/1966,59,Buru," Rp1,500,000 ",5,0,0,1,2,1,3,Tidak menerima bansos
Kalim Najmudin,3200341431864950,Jayapura,Papua,3/23/1959,66,Wiraswasta," Rp2,000,000 ",4,0,1,2,1,0,2,Tidak menerima bansos
Tgkgina Anggriawan,3200098997153950,Gorontalo,Gorontalo,5/23/1985,40,Petani," Rp2,000,000 ",7,1,2,1,0,2,3,Tidak menerima bansos
Samia Raayu,3200413026238170,Bandung,Jawa Barat,4/14/1999,26,Tidak Bekerja, Rp-   ,7,0,3,1,2,1,4,menerima bansos
Gadu Yuliarti,3200067379719510,Samarinda,Kalimantan Timur,4/17/1986,39,Karyawan," Rp1,500,000 ",5,0,0,2,1,1,4,menerima bansos
Zamira Marbun,3200053243220050,Manokwari,Papua Barat,12/13/1966,58,Tidak Bekerja, Rp-   ,3,1,0,0,0,1,1,Tidak menerima bansos
Sutan Gamanto Suartini,3200168363172450,Jambi,Jambi,6/11/1969,56,Karyawan," Rp2,000,000 ",8,0,3,1,2,2,4,menerima bansos
Madinata Susanti,3200365875939860,Palembang,Sumatera Selatan,10/8/1996,28,Wiraswasta," Rp2,000,000 ",5,0,2,2,1,0,4,menerima bansos
Cici Zulkarnain,3200944132465570,Balikpapan,Kalimantan Timur,8/20/1971,53,Petani," Rp2,000,000 ",3,1,0,0,2,0,1,Tidak menerima bansos
Eko Siotang,3200973671740810,Semarang,Jawa Tengah,9/14/1996,28,Tidak Bekerja, Rp-   ,9,1,3,2,2,1,5,menerima bansos
Ciaobella Mardiya,3200791679978560,Palembang,Sumatera Selatan,3/14/1962,63,Buru," Rp500,000 ",6,1,3,0,1,0,3,Tidak menerima bansos
Vivi Siregar,3200994511397830,Palu,Sulawesi Tengah,11/8/1971,53,Petani," Rp1,500,000 ",8,1,2,1,1,2,4,menerima bansos
Suci Mustofa,3200642422562250,Bogor,Kalimantan Timur,4/15/1964,61,Buru," Rp1,000,000 ",5,0,1,1,1,2,3,Tidak menerima bansos
Gasti Kusmawati,3200178062096770,Bandung,Jawa Barat,5/23/1972,53,Karyawan," Rp2,000,000 ",7,0,1,1,2,2,3,Tidak menerima bansos
Kayun Situmorang,3200491544973130,Pekanbaru,Riau,2/3/1962,63,Petani," Rp500,000 ",3,1,1,0,0,1,1,Tidak menerima bansos
Dinda Salaudin,3200802033657350,Jayapura,Papua,2/18/1993,32,Petani," Rp500,000 ",6,1,0,0,2,2,3,Tidak menerima bansos
Karja Kuswoyo,3200495016607320,Pekanbaru,Riau,4/7/1976,49,Buru," Rp2,000,000 ",4,1,1,0,1,0,1,Tidak menerima bansos
Tami Wibowo,3200850516406220,Palembang,Sumatera Selatan,7/5/1969,55,Karyawan," Rp1,000,000 ",7,1,3,0,0,2,3,Tidak menerima bansos
Rusman Putra,3200757712781980,Bandung,Jawa Barat,9/2/1991,33,Karyawan," Rp1,500,000 ",3,1,2,0,0,0,1,Tidak menerima bansos
Janet Uwais,3200751373912780,Bandung,Jawa Barat,5/30/1999,26,Karyawan," Rp2,000,000 ",8,0,2,2,2,2,5,menerima bansos
Kasirwanda Lestari,3200613137513210,Yogyakarta,DI Yogyakarta,7/9/1970,54,Buruh," Rp1,000,000 ",7,0,3,1,2,1,4,menerima bansos
Cakrawala Waskita,3200493147324160,Samarinda,Kalimantan Timur,6/15/1984,41,Buruh," Rp1,500,000 ",6,1,3,2,0,0,3,Tidak menerima bansos
Janet Aryanto,3200698083127310,Jayapura,Papua,9/15/1993,31,Petani," Rp1,500,000 ",9,1,3,1,2,1,4,menerima bansos
Tari Puspita,3200345051297600,Banjarmasin,Kalimantan Selatan,1/11/1994,31,Wiraswasta," Rp1,000,000 ",5,1,0,2,2,0,3,Tidak menerima bansos
Nilam Damanik,3200119036894770,Manado,Sulawesi Utara,8/18/1968,56,Buruh," Rp1,000,000 ",6,1,2,2,1,0,4,menerima bansos
Ade Wacana,3200381519969450,Medan,Sumatera Utara,2/10/1974,51,Petani," Rp2,000,000 ",9,1,3,2,1,2,5,menerima bansos
Ellis Manullang,3200973850957850,Sorong,Papua Barat,9/17/1980,44,Wiraswasta," Rp1,000,000 ",2,0,0,0,0,2,1,Tidak menerima bansos
Safina Salaudin,3200007421444770,Pekanbaru,Riau,3/27/1982,43,Wiraswasta," Rp1,500,000 ",5,1,0,2,0,2,3,Tidak menerima bansos
Tami Suryono,3200234926625870,Malang,Jawa Timur,11/12/1955,69,Wiraswasta," Rp2,000,000 ",8,1,2,1,1,2,4,menerima bansos
Ardi Agustina,3200507923970840,Kendari,Sulawesi Tenggara,3/18/1987,38,Karyawan," Rp1,500,000 ",3,0,0,1,1,0,1,Tidak menerima bansos
Julia Lailasari,3200810730290390,Lampung,Lampung,5/30/1962,63,Tidak Bekerja, Rp-   ,7,0,2,1,2,1,4,menerima bansos
Keisa Sinaga,3200400790974320,Medan,Sumatera Utara,1/4/1993,32,Wiraswasta," Rp2,000,000 ",9,1,3,2,2,0,4,menerima bansos
Lanjar Andayani,3200296436845600,Balikpapn,Kalimantan Timur,3/27/1972,53,Tidak Bekerja, Rp-   ,3,1,0,0,2,0,1,Tidak menerima bansos
Puti Puspa Nasiruddin,3200714859142130,Samarinda,Kalimantan Timur,4/3/1996,29,Karyawan," Rp500,000 ",4,0,0,0,2,1,2,Tidak menerima bansos
Damar Marbun,3200256620610250,Yogyakarta,DI Yogyakarta,4/25/1995,30,Petani," Rp2,000,000 ",4,0,1,0,1,1,2,Tidak menerima bansos
Sutan Viktor Simanjuntak,3200104490195780,Yogyakarta,DI Yogyakarta,7/9/1957,67,Tidak Bekerja, Rp-   ,5,1,0,1,0,2,2,Tidak menerima bansos
Tgkcinta Anggriawan,3200295484260780,Pontianak,Kalimantan Barat,4/5/1957,68,Petani," Rp2,000,000 ",0,0,0,0,0,0,0,Tidak menerima bansos
Fara Siombing,3200284225136590,Pekanbaru,Riau,8/8/1956,68,Karyawan," Rp1,000,000 ",9,1,2,1,2,2,4,menerima bansos
Ratna Widodo,3200089816483920,Kendari,Sulawesi Tenggara,6/30/1964,61,Tidak Bekerja, Rp-   ,5,0,3,0,0,2,3,Tidak menerima bansos
Mujur Astuti,3200842883567330,Balikpapan,Kalimantan Timur,6/24/2000,25,Wiraswasta," Rp1,500,000 ",6,0,3,0,1,1,4,menerima bansos
Melinda Siombing,3200267372711740,Bengkulu,Kalimantan Timur,12/17/1975,49,Wiraswasta," Rp500,000 ",6,1,1,2,1,1,4,menerima bansos
Qori Gunarto,3200927453309280,Jayapura,Papua,2/13/1994,31,Tidak Bekerja, Rp-   ,1,0,1,0,0,0,0,Tidak menerima bansos
Paiman Anggriawan,3200840546164300,Lampung,Lampung,11/8/1999,25,Petani," Rp1,500,000 ",5,1,0,1,0,2,2,Tidak menerima bansos
Eka Sitorus,3200349031012270,Padang,Sumatera Barat,7/12/1973,51,Wiraswasta," Rp500,000 ",7,1,1,1,2,2,3,Tidak menerima bansos
Yusuf Simanjuntak,3200710612690230,Jayapura,Papua,9/11/1973,51,Tidak Bekerja, Rp-   ,6,1,2,1,0,2,3,Tidak menerima bansos
Rrini Mayasari,3200294377331870,Makassar,Sulawesi Selatan,12/17/1962,62,Petani," Rp1,500,000 ",5,1,3,0,1,0,3,Tidak menerima bansos
Kasim Widodo,3200590551696850,Manado,Sulawesi Utara,7/23/1967,57,Karyawan," Rp2,000,000 ",10,1,3,1,2,2,4,menerima bansos
Cut Gina Putra,3200937953983100,Manokwari,Papua Barat,4/16/1968,57,Karyawan," Rp1,500,000 ",4,0,2,2,0,0,2,Tidak menerima bansos
Sabrina Adriansya,3200809294557560,Pekanbaru,Riau,9/30/1991,33,Tidak Bekerja, Rp-   ,9,0,3,1,2,2,4,menerima bansos
Kprayoga Tampubolon,3200927772064980,Jayapura,Papua,2/11/1957,68,Tidak Bekerja, Rp-   ,6,0,3,2,0,1,4,menerima bansos
Irfan Waskita,3200167366321500,Bogor,Kalimantan Timur,5/4/2000,25,Karyawan," Rp2,000,000 ",6,1,2,2,1,0,4,menerima bansos
Darmana Pangestu,3200382812316560,Pekanbaru,Riau,10/1/1997,27,Wiraswasta," Rp2,000,000 ",5,0,1,1,2,1,3,Tidak menerima bansos
Silvia Nurdiyanti,3200065638339830,Yogyakarta,DI Yogyakarta,3/21/1956,69,Karyawan," Rp2,000,000 ",2,0,1,0,0,1,1,Tidak menerima bansos
Puspa Siotang,3200905940895430,Palembang,Sumatera Selatan,4/12/1963,62,Karyawan," Rp1,000,000 ",4,1,0,0,0,2,1,Tidak menerima bansos
Ulya Winarno,3200091426140800,Bandung,Jawa Barat,11/23/1982,42,Wiraswasta," Rp500,000 ",4,1,0,2,0,0,1,Tidak menerima bansos
Mariadi Oktaviani,3200688014306570,Samarinda,Kalimantan Timur,9/2/1973,51,Wiraswasta," Rp500,000 ",8,1,3,2,0,1,4,menerima bansos
Arsanto Artati,3200406179202220,Manado,Sulawesi Utara,1/6/1973,52,Wiraswasta," Rp2,000,000 ",2,0,1,1,0,0,0,Tidak menerima bansos
Umar Megantara,3200726510231150,Bandung,Jawa Barat,10/5/1996,28,Karyawan," Rp2,000,000 ",9,0,2,2,2,2,5,menerima bansos
Alika Susanti,3200920098587040,Lampung,Lampung,4/12/1988,37,Karyawan," Rp500,000 ",2,1,0,1,0,0,0,Tidak menerima bansos
Balidin Yolanda,3200989377017990,Banjarmasin,Kalimantan Selatan,4/6/1978,47,Tidak Bekerja, Rp-   ,8,1,3,0,1,2,4,menerima bansos
Ayu Abibi,3200263073193450,Gorontalo,Gorontalo,2/10/1960,65,Wiraswasta," Rp500,000 ",8,1,2,2,2,0,4,menerima bansos
Ida Usama,3200686073400500,Medan,Sumatera Utara,7/22/1955,69,Wiraswasta," Rp1,200,000 ",6,1,0,1,2,1,3,Tidak menerima bansos
Puti Rati Ardianto,3200668173997830,Kendari,Sulawesi Tenggara,12/5/1968,56,Buruh," Rp2,000,000 ",3,0,1,0,1,1,2,Tidak menerima bansos
Dadap Fujiati,3200941835894500,Medan,Sumatera Utara,9/29/1999,25,Buruh," Rp1,000,000 ",7,1,2,0,2,2,4,menerima bansos
Yance Aryanti,3200515275047320,Manokwari,Papua Barat,8/11/1958,66,Karyawan," Rp2,000,000 ",9,1,3,2,2,1,5,menerima bansos
Eman Irawan,3200245290362470,Pontianak,Kalimantan Barat,2/15/1960,65,Petani," Rp1,500,000 ",8,0,2,1,2,2,4,menerima bansos
Najib Saragi,3200441981404950,Padang,Sumatera Barat,1/22/1992,33,Buruh," Rp1,200,000 ",5,1,1,1,1,0,2,Tidak menerima bansos
Laswi Wasita,3200880572204280,Palangka Raya,Kalimantan Tengah,1/18/1957,68,Karyawan," Rp1,200,000 ",4,0,0,2,1,0,2,Tidak menerima bansos
Karya Damanik,3200252562903610,Malang,Jawa Timur,1/29/1975,50,Tidak Bekerja, Rp-   ,6,0,1,1,2,1,3,Tidak menerima bansos
Lala Maryati,3200166059912850,Pekanbaru,Riau,11/16/1955,69,Buru," Rp2,000,000 ",6,0,3,2,0,0,3,Tidak menerima bansos
